329,川田,"64,400"
330,黒木,"64,300"
331,須田,"64,300"
332,山川,"64,100"
333,古田,"63,700"
334,梅田,"63,500"
335,榊原,"63,400"
336,新田,"63,400"
337,三木,"63,300"
338,野中,"63,100"
339,村井,"62,200"
340,大城,"61,900"
341,奥山,"61,900"
342,土田,"61,600"
343,金城,"61,500"
344,滝沢,"61,100"
345,大村,"61,000"
346,川端,"60,400"
347,井口,"59,900"
348,梶原,"59,600"
349,大場,"59,200"
350,宮城,"58,300"
351,吉原,"57,800"
352,長島,"57,700"
353,宮内,"57,500"
354,金沢,"57,400"
355,比嘉,"57,400"
356,安井,"57,100"
357,庄司,"56,700"
358,大内,"56,600"
359,茂木,"56,300"
360,荻野,"56,000"
361,日高,"56,000"
362,向井,"55,900"
363,松島,"55,800"
364,下田,"55,700"
365,塚田,"55,600"
366,西本,"55,500"
367,石黒,"55,500"
368,奥野,"55,400"
369,竹中,"55,300"
370,広田,"55,200"
371,嶋田,"55,000"
372,藤川,"54,900"
373,栗田,"54,900"
374,福本,"54,900"
375,北野,"54,600"
376,川原,"54,400"
377,宇野,"54,400"
378,藤野,"54,300"
379,谷川,"54,200"
380,丹羽,"54,100"
381,小谷,"54,100"
382,吉本,"53,800"
383,藤岡,"53,600"
384,青柳,"53,600"
385,竹本,"53,600"
386,竹下,"53,600"
387,古谷,"53,300"
388,緒方,"53,300"
389,藤村,"53,000"
390,平川,"52,900"
391,亀井,"52,900"
392,高島,"52,800"
393,三輪,"52,700"
394,藤沢,"52,200"
395,篠崎,"52,000"
396,窪田,"51,900"
397,宮原,"51,600"
398,高井,"51,300"
399,根岸,"51,100"
400,下村,"51,000"
401,高瀬,"50,900"
402,山村,"50,700"
403,川本,"50,600"
404,柳沢,"50,400"
405,横井,"50,300"
406,出口,"50,200"
407,小澤,"50,100"
408,吉沢,"50,100"
409,武井,"49,900"
410,小森,"49,900"
411,竹村,"49,500"
412,長野,"49,500"
413,宮沢,"48,900"
414,平松,"48,600"
415,志村,"48,600"
416,福岡,"48,400"
417,臼井,"48,300"
418,黒沢,"48,300"
419,溝口,"48,100"
420,田原,"48,000"
421,稲田,"47,900"
422,浅田,"47,500"
423,筒井,"47,300"
424,柳田,"47,200"
425,奧村,"47,100"
426,大原,"47,100"
427,永野,"47,100"
428,林田,"46,900"
429,大平,"46,900"
430,冨田,"46,800"
431,瀬戸,"46,800"
432,手塚,"46,600"
433,入江,"46,500"
434,篠田,"46,500"
435,福永,"46,500"
436,北原,"46,400"
437,富永,"46,200"
438,湯浅,"46,000"
439,小出,"46,000"
440,鶴田,"46,000"
441,矢島,"46,000"
442,沼田,"45,700"
443,高松,"45,600"
444,長岡,"45,600"
445,堀口,"45,500"
446,山岡,"45,400"
447,岩瀬,"45,300"
448,大田,"45,100"
449,石崎,"44,800"
450,大槻,"44,700"
451,澤田,"44,700"
452,石山,"44,600"
453,池上,"44,200"
454,堀川,"44,000"
455,二宮,"44,000"
456,相馬,"44,000"
457,園田,"43,800"
458,柏木,"43,700"
459,平岡,"43,700"
460,奧田,"43,600"
461,島崎,"43,600"
462,花田,"43,500"
463,杉原,"43,200"
464,加納,"43,100"
465,川野,"43,000"
466,村瀬,"43,000"
467,片桐,"42,800"
468,長沢,"42,700"
469,内海,"42,700"
470,倉田,"42,600"
471,野沢,"42,500"
472,河原,"42,500"
473,福原,"42,400"
474,越智,"42,400"
475,秋元,"42,300"
476,西原,"42,200"
477,松野,"42,200"
478,笠井,"42,100"
479,小坂,"41,600"
480,田畑,"41,500"
481,日野,"41,200"
